		[TRIGGERPRI,NNS,#]	[3.7221791791217522,4.43929972970501,5.032028194463486]
	cluster53	[TRIGGERPRI,NN,JJ]	[6.04501251618043,8.995367717384587,10.100055484088845]
	cluster54	[TRIGGERPRI,JJ,IN]	[4.214434159738747,4.746240611911043,6.08579737909579]
	cluster55	[TRIGGERPRI,CC,VBZ]	[5.589218671679452,7.8714461314531405,9.089566259295855]
	cluster56	[TRIGGERPRI,NN,#]	[5.278307028218985,8.159856772715951,8.403942133588371]
		[TRIGGERPRI,NN,PRP]	[5.278307028218985,8.159856772715951,8.403942133588371]
		[TRIGGERPRI,NN,FW]	[5.278307028218985,8.159856772715951,8.403942133588371]
	cluster57	[TRIGGERPRI,NNS,@]	[5.836759015214839,6.620033560864432,9.637613807552695]
	cluster58	[TRIGGERPRI,VBG,NN]	[5.49214556628609,5.773943669281931,8.875161965098922]
	cluster59	[TRIGGERPRI,NN,WDT]	[5.623484385505199,8.536705602672962,9.165319132526598]
		[TRIGGERPRI,NN,VBP]	[5.623484385505199,8.536705602672962,9.165319132526598]
		[TRIGGERPRI,NN,#]	[5.623484385505199,8.536705602672962,9.165319132526598]
	cluster60	[TRIGGERPRI,VBZ,VBN]	[6.129047762622076,7.6107677404969944,10.286998380493095]
	cluster61	[TRIGGERPRI,VBZ,CD]	[4.632343272386256,6.03742702651993,6.990611291860689]
	cluster62	[TRIGGERPRI,VBP,IN]	[5.062396000440686,5.468736109429813,7.929760003506742]
		[TRIGGERPRI,WDT,VBP]	[5.066731710559677,5.3542255487429165,7.939265389850372]
		[TRIGGERPRI,#,#]	[5.0645638555001815,5.411480829086365,7.934512696678557]
	cluster63	[TRIGGERPRI,NN,NNS]	[6.566130626609686,9.560334179372981,11.262234660331181]
	cluster64	[TRIGGERPRI,NNS,CD]	[4.130224101373737,4.861686194186558,5.90453581694468]
	cluster65	[TRIGGERPRI,NN,VBG]	[5.933438449323348,8.874118711133777,9.852146619994516]
	cluster66	[TRIGGERPRI,IN,PRP$]	[4.909591086338615,6.067832009267475,7.59521451770707]
	cluster67	[TRIGGERPRI,VBZ,CC]	[4.0442650607644515,5.415021457871909,5.719910417725389]
		[TRIGGERPRI,VBZ,NNS]	[4.0442650607644515,5.415021457871909,5.719910417725389]
		[TRIGGERPRI,VBZ,JJS]	[4.0442650607644515,5.415021457871909,5.719910417725389]
		[TRIGGERPRI,VBZ,#]	[4.0442650607644515,5.415021457871909,5.719910417725389]
	cluster68	[TRIGGERPRI,CC,DT]	[7.426799338222308,9.833216925800858,13.195235445609793]
	cluster69	[TRIGGERPRI,VBZ,NN]	[6.2800078851192795,7.768802101586804,10.623286497825951]
	cluster70	[TRIGGERPRI,TO,NNS]	[3.516765230930644,3.8280171958580578,4.596901701685333]
		[TRIGGERPRI,TO,PRP$]	[3.516765230930644,3.8280171958580578,4.596901701685333]
		[TRIGGERPRI,TO,#]	[3.516765230930644,3.8280171958580578,4.596901701685333]
		[TRIGGERPRI,TO,JJ]	[3.516765230930644,3.8280171958580578,4.596901701685333]
	cluster71	[TRIGGERPRI,VBP,VBN]	[5.393418809049424,5.805126993948016,8.657416101266858]
	cluster72	[TRIGGERPRI,VBD,NN]	[5.037619568939931,5.77426575923752,7.875454924397826]
	cluster73	[TRIGGERPRI,NN,RB]	[5.6050058546253965,8.516561765813776,9.124463230303617]
	cluster74	[TRIGGERPRI,#,#]	[3.598102872293217,4.031459710377167,4.768837872845509]
		[TRIGGERPRI,RB,@]	[3.5975561697336005,4.032331230126468,4.767680595739272]
		[TRIGGERPRI,RB,DT]	[3.5975561697336005,4.032331230126468,4.767680595739272]
		[TRIGGERPRI,VBN,TO]	[3.5986495748528338,4.030588190627865,4.769995149951747]
